Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1782073338.281	     1.703	0	0	0	0	dir=computations/general; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/general/heights_ell_X0N.m >| "$subdir"/heights_ell_X0N.txt
1	:	1782073338.274	    15.831	0	0	0	0	dir=computations/general; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/general/dualgraphs.m >| "$subdir"/dualgraphs.txt
9	:	1782073338.321	   293.074	0	0	0	0	dir=computations/X0_187star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_187star/model_p7_v2.m >| "$subdir"/model_p7_v2.txt
11	:	1782073340.000	   425.721	0	0	0	0	dir=computations/X0_187star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_187star/qc_p31.m >| "$subdir"/qc_p31.txt
14	:	1782073765.727	     2.688	0	0	0	0	dir=computations/X0_319star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_319star/gonality.m >| "$subdir"/gonality.txt
7	:	1782073338.300	   433.965	0	0	0	0	dir=computations/X0_187star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_187star/model_p37.m >| "$subdir"/model_p37.txt
8	:	1782073338.305	   434.865	0	0	0	0	dir=computations/X0_187star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_187star/model_p7.m >| "$subdir"/model_p7.txt
17	:	1782073773.188	     3.680	0	0	0	0	dir=computations/X0_319star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_319star/model_search.m >| "$subdir"/model_search.txt
6	:	1782073338.294	   492.085	0	0	0	0	dir=computations/X0_187star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_187star/model_4primes.m >| "$subdir"/model_4primes.txt
19	:	1782073830.397	     1.516	0	0	0	0	dir=computations/X0_319star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_319star/reductions.m >| "$subdir"/reductions.txt
10	:	1782073338.336	   833.465	0	0	0	0	dir=computations/X0_187star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_187star/model_search_p7.m >| "$subdir"/model_search_p7.txt
16	:	1782073772.296	   486.128	0	0	0	0	dir=computations/X0_319star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_319star/model_p31.m >| "$subdir"/model_p31.txt
12	:	1782073354.124	  3950.790	0	0	0	0	dir=computations/X0_187star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_187star/qc_p31_mws.m >| "$subdir"/qc_p31_mws.txt
5	:	1782073338.290	 11184.771	0	0	0	0	dir=computations/general; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/general/star_quotient_genus_table.m >| "$subdir"/star_quotient_genus_table.txt
4	:	1782073338.285	 20408.760	0	0	0	0	dir=computations/general; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/general/nup_formula_checks.m >| "$subdir"/nup_formula_checks.txt
13	:	1782073631.416	 22897.388	0	0	0	0	dir=computations/X0_247star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_247star/model_p31.m >| "$subdir"/model_p31.txt
15	:	1782073768.436	 45485.273	0	0	0	0	dir=computations/X0_319star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_319star/model.m >| "$subdir"/model.txt
18	:	1782073776.892	 92437.651	0	0	0	0	dir=computations/X0_319star; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/X0_319star/qc_polys.m >| "$subdir"/qc_polys.txt
2	:	1782073338.278	260975.639	0	0	0	0	dir=computations/general; subdir=logs/${dir#computations/}; mkdir -p "$subdir";  magma-2.28-3 -n computations/general/existence_of_relations.m >| "$subdir"/existence_of_relations.txt
